key,name,group_1,group_2,unit,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,default_has
1,教養ゼミI,総合科目,人間,1,1,0,0,0,0,0,0,0,1
2,教養ゼミII,総合科目,人間,1,0,1,0,0,0,0,0,0,1
3,経済学I,総合科目,社会・環境,2,1,1,0,0,0,0,0,0,1
4,経済学II,総合科目,社会・環境,2,0,0,1,0,0,1,0,0,0s
5,社会学I,総合科目,社会・環境,2,1,1,0,0,0,0,0,0,0
6,社会学II,総合科目,社会・環境,2,0,0,0,1,0,0,0,0,0
7,法学I,総合科目,社会・環境,2,1,0,0,0,0,1,0,0,0
8,法学II,総合科目,社会・環境,2,0,0,1,0,1,0,0,0,0
9,日本国憲法,総合科目,社会・環境,2,0,0,0,0,1,0,0,0,0
10,科学技術と社会,総合科目,社会・環境,2,0,0,0,0,1,0,0,0,0
11,富山と日本海,総合科目,社会・環境,2,0,0,0,0,1,0,0,0,0
12,環境論I,総合科目,社会・環境,2,1,0,0,0,0,0,0,0,1
13,環境論II,総合科目,社会・環境,2,0,0,1,1,0,0,0,0,1
14,日本語業現法,総合科目,言語・文化,2,1,1,0,0,0,0,0,0,1
15,コミュニケーション論,総合科目,言語・文化,2,0,0,1,0,1,0,0,0,0
16,文学I,総合科目,言語・文化,2,0,0,1,0,0,0,0,0,0
17,文学II,総合科目,言語・文化,2,0,0,0,0,0,1,0,0,0
18,比較文化学I,総合科目,言語・文化,2,1,1,0,0,0,0,0,0,0
19,比較文化学II,総合科目,言語・文化,2,0,0,0,1,1,0,0,0,0
20,人間と文化,総合科目,言語・文化,2,0,0,0,0,0,1,0,0,0
21,近現代史,総合科目,言語・文化,2,0,0,0,0,1,0,0,0,0
22,国際関係論,総合科目,言語・文化,2,0,0,0,0,1,0,0,0,0
23,健康科学演習,総合科目,精神・身体,1,1,1,0,0,0,0,0,0,1
24,心理学I,総合科目,精神・身体,2,1,1,0,0,0,0,0,0,1
25,心理学II,総合科目,精神・身体,2,0,0,1,1,0,0,0,0,0
26,コミュニケーションの社会学,総合科目,精神・身体,2,0,0,0,0,1,0,0,0,0
27,倫理学,総合科目,精神・身体,2,0,0,1,0,0,0,0,0,0
28,哲学,総合科目,精神・身体,2,0,0,0,1,0,0,0,0,0
29,健康科学I,総合科目,精神・身体,2,1,1,0,0,0,0,0,0,0
30,健康科学II,総合科目,精神・身体,2,0,0,0,0,1,1,0,0,0
31,数学I,基礎科目,,2,1,0,0,0,0,0,0,0,1
32,数学II,基礎科目,,2,0,1,0,0,0,0,0,0,1
33,物理学I,基礎科目,,2,1,0,0,0,0,0,0,0,1
34,物理学II,基礎科目,,2,0,1,0,0,0,0,0,0,1
35,化学I,基礎科目,,2,1,0,0,0,0,0,0,0,1
36,化学II,基礎科目,,2,0,1,0,0,0,0,0,0,0
37,生物学,基礎科目,,2,0,1,0,0,0,0,0,0,0
38,数学物理学演習I,基礎科目,,1,1,0,0,0,0,0,0,0,1
39,数学物理学演習II,基礎科目,,1,0,1,0,0,0,0,0,0,1
40,化学実験,基礎科目,,1,0,1,0,0,0,0,0,0,0
41,物理実験,基礎科目,,1,1,1,0,0,0,0,0,0,1
42,英語基礎１,外国語科目,,1,1,0,0,0,0,0,0,0,1
43,英語基礎２,外国語科目,,1,1,0,0,0,0,0,0,0,1
44,英語基礎３,外国語科目,,1,0,1,0,0,0,0,0,0,1
45,英語基礎４,外国語科目,,1,0,1,0,0,0,0,0,0,1
46,総合英語１,外国語科目,,1,0,0,1,0,0,0,0,0,1
47,総合英語２,外国語科目,,1,0,0,1,0,0,0,0,0,1
48,総合英語３,外国語科目,,1,0,0,0,1,0,0,0,0,0
49,総合英語４,外国語科目,,1,0,0,0,1,0,0,0,0,0
50,英語特別演習１,外国語科目,,1,0,0,0,0,1,0,0,0,0
51,英語特別演習２,外国語科目,,1,0,0,0,0,1,0,0,0,0
52,英語特別演習３,外国語科目,,1,0,0,0,0,0,1,0,0,0
53,英語特別演習４,外国語科目,,1,0,0,0,0,0,1,0,0,0
54,ドイツ語I,外国語科目,,1,1,0,0,0,0,0,0,0,1
55,ドイツ語II,外国語科目,,1,0,1,0,0,0,0,0,0,1
56,中国語I,外国語科目,,1,1,0,0,0,0,0,0,0,0
57,中国語II,外国語科目,,1,0,1,0,0,0,0,0,0,0
58,キャリア形成論,キャリア形成科目,,1,1,1,1,1,1,1,0,0,0
59,トピックゼミI,キャリア形成科目,,1,0,0,1,0,0,0,0,0,1
60,トピックゼミII,キャリア形成科目,,1,0,0,0,1,0,0,0,0,0
61,プレゼンテーション演習,キャリア形成科目,,1,0,0,0,0,1,0,0,0,0
62,技術者倫理,キャリア形成科目,,2,0,0,0,0,1,0,0,0,0
63,企業経営論,キャリア形成科目,,2,0,0,0,0,0,0,1,0,0
64,インターンシップA,キャリア形成科目,,2,0,0,0,0,1,0,0,0,0
65,インターンシップB,キャリア形成科目,,1,0,0,0,0,1,0,0,0,0
66,技術英語,キャリア形成科目,,1,0,0,0,0,1,0,0,0,0
67,英語資格試験対策ゼミ,キャリア形成科目,,1,1,1,1,1,1,1,1,1,0
68,線形代数１,専門基礎科目,,2,1,0,0,0,0,0,0,0,1
69,線形代数２,専門基礎科目,,2,0,1,0,0,0,0,0,0,1
70,情報数学１,専門基礎科目,,2,1,0,0,0,0,0,0,0,1
71,情報数学２,専門基礎科目,,2,0,1,0,0,0,0,0,0,1
72,確率・統計学,専門基礎科目,,2,1,0,0,0,0,0,0,0,1
73,複素解析学,専門基礎科目,,2,0,1,0,0,0,0,0,0,1
74,微分方程式論,専門基礎科目,,2,0,0,1,0,0,0,0,0,1
75,フーリエ解析学,専門基礎科目,,2,0,0,1,0,0,0,0,0,1
76,情報システム工学概論,専門基礎科目,,2,1,0,0,0,0,0,0,0,1
77,コンピュータ基礎,専門科目,,2,1,0,0,0,0,0,0,0,1
78,プログラミング１,専門科目,,2,0,1,0,0,0,0,0,0,1
79,プログラミング演習１,専門科目,,1,0,1,0,0,0,0,0,0,1
80,アルゴリズムとデータ構造,専門科目,,2,0,1,0,0,0,0,0,0,1
81,情報理論,専門科目,,2,0,0,1,0,0,0,0,0,0
82,ディジタル信号処理,専門科目,,2,0,0,0,1,0,0,0,0,0
83,電気回路,専門科目,,2,0,1,0,0,0,0,0,0,1
84,電子回路,専門科目,,2,0,0,1,0,0,0,0,0,1
85,論理回路基礎,専門科目,,2,0,0,1,0,0,0,0,0,1
86,情報システム特別講義,専門科目,,2,0,0,0,0,0,1,0,0,0
87,情報システム工学実験１,専門科目,,2,0,0,0,1,0,0,0,0,0
88,情報システム工学実験２,専門科目,,2,0,0,0,0,1,0,0,0,0
89,卒業研究１,専門科目,,4,0,0,0,0,0,1,0,0,0
90,卒業研究２,専門科目,,8,0,0,0,0,0,0,1,1,0
91,プログラミング２,専門科目,,2,0,0,1,0,0,0,0,0,1
92,プログラミング演習２,専門科目,,1,0,0,1,0,0,0,0,0,1
93,プログラミング３,専門科目,,2,0,0,0,1,0,0,0,0,0
94,プログラミング演習３,専門科目,,1,0,0,0,1,0,0,0,0,0
95,IoTプログラミング,専門科目,,2,0,0,0,0,1,0,0,0,0
96,コンピュータアーキテクチャ,専門科目,,2,0,0,1,0,0,0,0,0,1
97,コンパイラ,専門科目,,2,0,0,0,1,0,0,0,0,0
98,論理回路応用,専門科目,,2,0,0,0,0,1,0,0,0,0
99,組込みシステム工学,専門科目,,2,0,0,0,0,1,0,0,0,0
100,プログラミング言語,専門科目,,2,0,0,0,0,0,1,0,0,0
101,コンピュータネットワーク,専門科目,,2,0,0,0,1,0,0,0,0,0
102,IoTシステムデザイン,専門科目,,2,0,0,1,0,0,0,0,0,1
103,通信方式,専門科目,,2,0,0,0,1,0,0,0,0,0
104,待ち行列理論と性能解析,専門科目,,2,0,0,0,0,1,0,0,0,0
105,データベースとデータ処理,専門科目,,2,0,0,0,1,0,0,0,0,0
106,ソフトウェア工学,専門科目,,2,0,0,0,0,1,0,0,0,0
107,オペレーティングシステム,専門科目,,2,0,0,0,0,0,1,0,0,0
108,画像処理基礎,専門科目,,2,0,0,1,0,0,0,0,0,1
109,ヒューマンインターフェース,専門科目,,2,0,0,0,0,1,0,0,0,0
